Type,Value,Note
SHA256,476334f9254ef0277b3462b6086655f38358a983b95991cfe4dcdd787740906a,PhantomMail: PyInstaller loader (K-Lite icon) - August 2025
SHA256,78773eb9738bc3306a56bf39adc8212226479c24af8bf453be9d57103a91a904,PhantomMail: ZIP - August 2025
SHA256,62b585f36d4b14fa1e036feed692267aa098e7fc6cabb468a07997a025309299,PhantomMail: ZIP - Early September 2025
SHA256,d60dd96ef92b43e2e4f955dd76448fc320c3f8445b661d9a4a3c40caca0aa8a5,PhantomMail: PyInstaller loader - Early September 2025
SHA256,687629ca9dc5b9b4bdf6c06fb1405449638b905f3a0c08bccac1c519ef22964d,PhantomMail: ZIP - Late September 2026
SHA256,8a7401444dd7c85b36ff7b1d0b36c5953692ef32dbeac7642fb7c1034bd8a726,PhantomMail: JS loader (LOOKVALJS) - Late September 2026
SHA256,e81af6ae6862d905d8634a1f6e0a8893ba28e3ce61d12ccac020ef6fae802e8b,PhantomMail: RAR - December 2026
SHA256,93111e523c38d98247a78a0d1d9ae163e9874acb70721f6fe0bf451c62fff283,PhantomMail: JS loader (LOOKVALJS) - December 2026
SHA256,c823a315c2c78d2fd345c9b38bb7fc31a8cbff96c534ce9cc66c4e54bc7935a2,PhantomMail: JS loader (LOOKVALJS) - December 2026
SHA256,5115eca388860371d994457793f3a3c2c3d106da48ca12ecccb9432522c56cc3,PhantomMail: JS loader (TEASOUPJS) - March 2026
SHA256,bd3f35b91bf83427e953d4cf531a0ee4b5ec9fc76b91700274effe0eba22510f,PhantomMail: RAR - April 2026
SHA256,2abb318455960b446d034967c8403ec4339ba248b946f02cb1307ed7e6f4e327,PhantomMail: JS loader (TEASOUPJS)- April 2026
E-mail address,centrenergo.ukr@gmail.com,PhantomMail: E-mail address used for spearphishing activity in December 2025
E-mail address,centrenergo.ua@gmail.com ,PhantomMail: E-mail address used for spearphishing activity in December 2025
E-mail address,office.dsns.dp@gmail.com,PhantomMail: E-mail address used for spearphishing activity in March 2026
E-mail address,kanc.kh.dsns@gmail.com,PhantomMail: E-mail address used for spearphishing activity in March 2026
E-mail address,office.cip.ua.gov@gmail.com,PhantomMail: E-mail address used for spearphishing activity in April 2026
E-mail address,office.gov.cips@gmail.com,PhantomMail: E-mail address used for spearphishing activity in April 2026
Filename,форма акта перевірки.XLS.js,PhantomMail: Filename used across spearphishing campaigns
Filename,форма акта перевірки територій.rar,PhantomMail: Filename used across spearphishing campaigns
Filename,матеріали конференції з кіберзахисту_pdf.exe,PhantomMail: Filename used across spearphishing campaigns
Filename,пріоритетні теми співпраці.exe,PhantomMail: Filename used across spearphishing campaigns
Filename,зразок заявки на отримання фінансової підтримки.Docx.rar,PhantomMail: Filename used across spearphishing campaigns
Filename,Заявка на забезпечення.rar,PhantomMail: Filename used across spearphishing campaigns
URL,https://storage.vlasiuk.kiev.ua/SW90D0qhta/матеріали_конференції.zip,PhantomMail: Initial-stage malware download link (file hosting service)
URL,https://share.secureinfo.eu/get/ypMXMG58xH/Матеріали_конференції_доп.zip,PhantomMail: Initial-stage malware download link (file hosting service)
URL,https://www.4sync.com/web/directDownload/tcqtmocL/MyE7HPqt.11b47e3a02edac898638b1906774210d,PhantomMail: Initial-stage malware download link (file hosting service)
URL,https://drive.google.com/file/d/1RDXHPZtCzOXn6GN7UidXPo4qqZOA_UGd,PhantomMail: Initial-stage malware download link (file hosting service)
URL,https://drive.google.com/file/d/12ffiBTWHm6GW8chJNIXuOeALPI82VnNs,PhantomMail: Initial-stage malware download link (file hosting service)
URL,https://drive.google.com/file/d/1wkgvtTw_g5CvK84rWiHCr6HPZZb_OeKd,PhantomMail: Initial-stage malware download link (file hosting service)
URL,https://drive.google.com/file/d/1aSIXJgZUT7AQEp5B_D7gyHRq74EFUxoz,PhantomMail: Initial-stage malware download link (file hosting service)
Domain,lapas.live,PhantomClick: Fake captcha domain masquerading as LAPAS (Latvian Platform for Development Cooperation).
Domain,zoomconference.click,PhantomClick: Fake captcha domain masquerading as Zoom Conference
Domain,zoomconference.app,PhantomClick: Fake captcha domain masquerading as Zoom Conference
IP address,188.124.59.120,PhantomClick: Hosting lapas.live
IP address,193.233.23.81,Hosting PhantomClick's zoomconference.app and zoomconference.click as well as PrincessClub's princess-mens.click"
SHA256,e8d0943042e34a37ae8d79aeb4f9a2fa07b4a37955af2b0cc0e232b79c2e72f3,PhantomClick: Lure document containing link to zoomconference.app
SHA256,42464c188cb8116b63938b3236504ec4ae31c7cadb9063085b30dd468d88860f,PhantomClick: Similar lure document
SHA256,7ac06aaf0cdc1c1f0f14b0e8ccc550f9df20e79f3ce321207ec7a1867d6227ef,PhantomClick: Similar lure document
SHA256,f79b9d14b93d4c509386684f2aeebe53ab088e704b38b359db3ee7991942aec6,PhantomClick: Similar lure document
SHA256,08eba15964cae61156a99d7ac33eedebdd6e9f3465dc77b5d8dc17dbedc2194a,PhantomClick: Similar lure document
SHA256,18db95f2ae20a4ea86b3296f409eb3fc1131d2758c5bfdbda16a424a64e97d18,PhantomClick: Similar lure document
SHA256,e9634032df81334e9e960ab8b88ff05a0f7ec9c034dc012f816f09e23c18d41b,PrincessClub: Initial-stage malware: RAR -> JS loader (LOOKVALJS)
SHA256,40f9399ea067d69c0985aecdc54beddbcb585d7f660606e5bb4be981811c28ba,PrincessClub: Initial-stage malware: NSIS -> PyInstaller loader (LOOKVALPS)
SHA256,f8fd89b4d0d2608dbdf6e79282b7dc3fa3bef9b199a0dd02f15660cd02c73361,PrincessClub: Initial-stage: PyInstaller loader
SHA256,5e6c5b6604d88f044bff53b6576f7b15046baa666fa72bafe62069a8b9e9452f,PrincessClub: Initial-stage malware: .NET loader
SHA256,48a371a3973983a9bdb395cb33d6fce68d75b41d4bfd86d3f923cff79b545efc,PrincessClub: Initial-stage malware: .NET loader
SHA256,f56170fc141e2fce7449a01af9bda7b22b8909b6c8eaf698e5a149e3da75eeac,PrincessClub: Initial-stage malware: .NET loader
SHA256,1b916c486ec621fb66bd4521dddad5df69bd35c4b76a980c0b924babf566cb84,PrincessClub: Initial-stage malware: .NET loader
SHA256,cbaf6cdb2acbd293d7e58cabe41449027a28b84223ba88f19e4463ec4176dad0,PrincessClub: APK (FallSpy)
SHA256,bcb9e99021f88b9720a667d737a3ddd7d5b9f963ac3cae6d26e74701e406dcdc,PrincessClub: APK (FallSpy)
Domain,strip-mens.tilda.ws,PrincessClub: Princess Club site
Domain,princess-mens.fun,PrincessClub: Princess Club site
Domain,princess-mens-club.com,PrincessClub: Princess Club site
Domain,princess-mens.click,PrincessClub: Princess Club site
Domain,princessclub.click,PrincessClub: Princess Club site
Domain,princessclub.best,PrincessClub: Princess Club site
Domain,princessclub.online,PrincessClub: Princess Club site
Domain,princessclub.cyou,PrincessClub: Princess Club site
Domain,clubprincess.click,PrincessClub: Princess Club site
Username,vikagogogo111,PrincessClub: Telegram user used for fake girl persona
Username,nastyaa2001lov,PrincessClub: Telegram user used for fake girl persona
Username,lilymihalyk,PrincessClub: Telegram user used for fake girl persona
IP address + port,89.37.185.60:14000,Nebo: Fake ‘nebo’ login page
IP address + port,74.112.102.120:14000,Nebo: Fake ‘nebo’ login page
SHA256,87b8abb05c7ee5642a5e801e7825dfa5ee4c1393ac998e87470ab53cc75e1842,Nebo: APK (FallSpy)
Domain,frontforce.org,DroneLink: DroneLink: Drone-themed charity site
Domain,ukrguard.org,DroneLink: Drone-themed charity site
Domain,ukrbezpeka.online,DroneLink: Drone-themed charity site
Domain,ironbrave.online,DroneLink: Drone-themed charity site
Domain,ukrvarta.online,DroneLink: Drone-themed charity site
Domain,edbo.linkpc.net,DroneLink: Initial staging domain
Domain,edbo.publicvm.com,DroneLink: Initial staging domain
